Amenity,Count
 Smoke alarm,892
 Kitchen,872
 Dishes and silverware,863
 Essentials,850
 Cooking basics,804
 Refrigerator,798
 Hot water,796
 Wifi,765
 Hangers,757
 Free parking on premises,756
 Bed linens,731
 Hair dryer,730
 Fire extinguisher,699
 Microwave,686
 Private entrance,654
 Self checkin,596
 Toaster,594
 Shampoo,581
 Iron,577
 Oven,564
 Dining table,556
 Extra pillows and blankets,550
 Heating,545
 Wine glasses,539
 Bathtub,505
 Hot water kettle,501
 Cleaning products,496
 Outdoor furniture,489
 Baking sheet,477
 Coffee,476
 Private patio or balcony,472
 Freezer,464
 BBQ grill,444
 Long term stays allowed,444
 Carbon monoxide alarm,442
 Stove,426
 Coffee maker,407
 Dedicated workspace,406
 Outdoor dining area,403
 Body soap,367
 Conditioner,357
 TV,354
 Fire pit,345
 Washer,341
 Pets allowed,341
 Roomdarkening shades,337
 Board games,328
 Shower gel,319
 Free dryer u In unit,312
 Books and reading material,303
 Air conditioning,294
 Portable fans,286
 Waterfront,269
 Free washer u In unit,264
 Keypad,259
 First aid kit,250
 Lockbox,247
 Ceiling fan,229
 Backyard,219
 Free street parking,214
 Dishwasher,202
 Dryer,198
 Security cameras on property,184
 Coffee maker drip coffee maker,181
 Single level home,178
 AC  split type ductless system,173
 Luggage dropoff allowed,173
 Blender,168
 Central heating,157
 Electric stove,154
 Coffee maker Keurig coffee machine,147
 Drying rack for clothing,144
 Clothing storage closet,141
 Clothing storage closet and dresser,137
 Patio or balcony,134
 Childrenus books and toys,133
 Childrenus dinnerware,131
 Bay view,121
 River view,120
 TV with standard cable,119
 Heating  split type ductless system,115
 Beach view,110
 Indoor fireplace,107
 First aid kitBarbecue utensils,107
 Radiant heating,99
 Beach essentials,97
 Ethernet connection,95
 Clothing storage,94
 Ocean view,91
 Mini fridge,87
 High chair,87
 Beach access,86
 Central air conditioning,86
 Indoor fireplace electric,83
 Netflix,83
 Lake access,83
 Stainless steel oven,82
 Host greets you,82
 Public or shared beach access,81
 Kayak,79
 Hammock,77
 Fast wifi u  Mbps,77
 Smart lock,76
 Shared backyard u Not fully fenced,74
 Private backyard u Not fully fencedBarbecue utensils,73
 Pack un playTravel crib,72
 Free driveway parking on premises u  spaces,66
 Beach access u Beachfront,65
 Cleaning available during stay,64
 Free dryer u In building,64
 Private backyard u Not fully fenced,58
 Sun loungers,58
 Keurig coffee machine,58
 Private hot tub,57
 BBQ grill gas,56
 Indoor fireplace woodburning,55
 Private backyard,54
 Barbecue utensils,53
 Garden view,52
 Laundromat nearbyBarbecue utensils,51
 Window AC unit,51
 Shared patio or balcony,49
 First aid kitDishwasher,49
  years old,49
 Mosquito net,49
 Portable air conditioning,48
 Roku,48
 standard cable,47
 Private backyard u Not fully fencedDishwasher,47
 and dresser,46
 Sea view,44
 Outlet covers,41
  HDTV with Netflix,41
 Baby safety gates,40
 Lake view,40
 Crib,39
 Disney,39
 Private BBQ grill gas,39
 Clothing storage dresser,39
 Clothing storage walkin closet,39
 Mountain view,38
 Bikes,37
 Safe,37
 and  years old,35
 Valley view,35
 EV charger,34
 Rice maker,34
 Private beach access u Beachfront,34
 Laundromat nearbyDishwasher,33
 Childrenus books and toys for ages  years old,33
 Stainless steel electric stove,32
  HDTV with Amazon Prime Video,32
 Private backyard u Fully fenced,31
 Indoor fireplace gas,30
 Sound system,30
 Coffee maker french press,29
 Free driveway parking on premises,29
 open  hours,29
 closet,28
 Baby bath,28
  HDTV with standard cable,28
 Boat slip,28
 Childrenus books and toys for ages  years old and  years old,28
  HDTV,28
 MicrowaveBarbecue utensils,28
 Private hot tub  available all year,26
 Record player,26
 french press,26
 Elevator,26
 MicrowaveDishwasher,26
 Pack un playTravel crib  always at the listing,25
  HDTV with Roku,25
 wardrobe,24
 Amazon Prime Video,24
 Free driveway parking on premises u  space,23
 Public or shared beach access u Beachfront,23
 Resort access,23
 premium cable,23
 Fireplace guards,23
 Fire pitBarbecue utensils,22
 Exercise equipment,22
 Pool table,22
 open specific hours,22
 Courtyard view,21
 Wifi u  Mbps,20
