Review_Term,Count
great,14408
place,14302
stay,13301
clean,9115
everything,6872
location,6667
beautiful,6074
recommend,5217
comfortable,4751
nice,4568
perfect,4559
host,4458
well,4398
home,4062
definitely,3951
amazing,3824
house,3688
cottage,3653
spot,3423
space,3037
close,2988
highly,2902
wonderful,2796
needed,2769
quiet,2738
super,2714
loved,2687
little,2620
cozy,2609
enjoyed,2605
really,2558
easy,2518
lovely,2451
hosts,2357
family,2286
area,2281
view,2083
kitchen,2039
beach,1968
good,1962
away,1904
hot,1898
spacious,1754
tub,1675
apartment,1649
stayed,1618
excellent,1545
amenities,1532
friendly,1523
room,1502
beds,1498
communication,1492
thank,1476
staying,1476
airbnb,1444
night,1436
relaxing,1423
quick,1422
absolutely,1408
downtown,1360
experience,1331
equipped,1323
bien,1293
getaway,1293
helpful,1268
walk,1237
bed,1195
make,1174
property,1163
fantastic,1147
private,1146
water,1133
touches,1120
responsive,1119
questions,1112
weekend,1103
next,1092
best,1089
walking,1062
moncton,1056
many,1048
enjoy,1034
cabin,1017
visit,1015
peaceful,1013
awesome,1006
love,1003
river,983
located,982
restaurants,975
every,953
chalet,941
endroit,923
propre,911
comfy,910
stocked,904
accommodating,903
fundy,900
john,900
decorated,894
views,893
felt,892
coffee,891
kids,887
enough,867
park,858
able,852
large,852
book,851
cute,851
relax,850
fire,846
jour,839
short,835
around,833
drive,823
two,810
extremely,807
provided,796
town,794
new,792
want,792
trip,776
welcoming,775
deck,771
fredericton,770
return,766
exactly,748
modern,745
distance,743
better,730
small,718
maison,706
available,675
see,673
outside,666
first,655
tait,651
access,642
recommended,632
convenient,629
extra,624
went,619
thoughtful,613
friends,611
appreciated,610
unit,609
big,606
warm,599
respond,581
vacation,575
second,575
gorgeous,572
bathroom,560
morning,560
parking,558
anything,556
local,556
saint,551
long,550
within,548
city,544
kind,541
pictures,521
beyond,518
hope,516
air,512
wait,507
living,504
plenty,503
belle,494
far,492
spotless,491
value,489
gem,487
inside,485
group,483
games,482
pit,482
towels,481
situ,480
full,479
bit,476
overall,467
beautifully,466
outdoor,464
etc,464
decor,464
needs,459
couple,458
left,454
alma,452
summer,450
visiting,450
described,448
lake,448
old,448
quite,446
street,446
places,444
quickly,444
near,443
recommande,443
hopewell,443
tiny,443
bay,438
truly,438
fun,436
year,436
road,436
welcome,435
parfait,434
rocks,429
national,428
dog,426
going,422
got,421
fully,420
future,420
nights,420
longer,417
door,416
communicate,415
merci,411
breakfast,411
incredible,407
especially,407
say,404
arrived,403
special,403
stunning,402
bedrooms,397
work,397
quip,394
week,392
amanda,391
confortable,391
beau,389
found,388
unique,387
bedroom,386
trails,382
accommodations,380
touch,376
arrival,375
trail,371
spent,370
look,369
expected,369
hospitality,368
guests,365
bring,365
wood,365
nature,362
nearby,359
jay,359
top,358
mario,356
booking,354
appointed,353
bbq,352
danny,351
take,351
set,349
main,348
shower,346
logement,345
huge,343
another,343
nicely,343
spend,342
open,342
fresh,342
price,342
expectations,341
dome,340
vue,339
forward,338
explore,338
bright,335
pool,334
bonus,333
food,333
spectacular,331
still,331
yard,330
front,330
high,326
building,324
magnifique,322
charming,321
husband,320
kept,320
everyone,320
backyard,319
ocean,319
worth,319
soon,318
wifi,317
cool,317
privacy,317
wish,316
happy,315
suite,314
emplacement,314
advertised,312
coming,311
evening,310
already,310
detail,309
patio,307
neighborhood,307
plage,305
booked,304
including,304
thing,303
stars,299
easily,298
photos,298
end,298
perfectly,297
central,297
making,296
across,295
leave,294
wanted,292
attention,290
sleep,290
help,290
sweet,289
brunswick,285
stylish,284
responded,283
porch,281
rooms,281
appartement,280
shediac,279
came,278
added,278
exploring,278
part,277
winter,276
details,275
last,275
never,273
floor,272
instructions,272
cooking,271
windows,270
clear,270
though,270
pass,268
along,268
beaucoup,268
grand,267
times,266
gave,266
whole,266
cook,265
pleasant,264
weather,263
fabulous,262
know,261
throughout,261
pretty,260
min,259
incredibly,259
petit,258
deal,255
erin,254
extras,254
store,254
bel,252
tidy,252
meals,251
must,251
agr,250
sparkling,249
wow,249
unwind,248
issues,247
without,245
sauna,245
fast,244
light,241
certainly,241
put,240
watching,240
table,238
owners,237
may,237
asked,237
dryer,237
ideal,236
shops,236
makes,236
washer,235
personal,235
victoria,235
nothing,234
care,234
bnb,233
service,233
tranquille,232
children,232
laundry,232
might,231
disappointed,231
took,230
renovated,230
think,228
play,227
dogs,227
rental,227
three,226
size,225
stop,225
enjoyable,223
ask,223
fridge,223
neighbourhood,223
retreat,223
prompt,222
adults,221
person,221
ador,221
setting,221
attractions,220
hesitate,218
keep,218
families,218
sunset,216
sunsets,216
famille,215
quality,215
vraiment,214
yet,214
sit,212
possibly,211
board,210
sitting,210
uptown,210
sea,209
late,209
used,208
justice,208
appr,207
grocery,207
early,207
plan,206
returning,205
owner,204
exceeded,204
others,204
spa,204
something,203
calme,203
issue,202
site,202
hiking,202
attentive,202
rest,199
watch,199
answer,199
worked,199
simple,199
thoroughly,199
castle,198
snacks,198
maintained,197
travelling,196
basement,196
quaint,196
superbe,196
accommodation,195
stove,194
steps,193
upon,192
although,192
fireplace,191
upstairs,190
lisa,190
highway,189
breathtaking,189
immaculate,188
lindsay,188
offer,188
centre,188
areas,188
ready,187
homey,186
give,185
furniture,185
woods,185
let,184
linens,184
items,184
cosy,184
books,183
kayaks,183
rent,183
walked,182
getting,181
messages,181
restaurant,181
loft,179
nancy,179
cold,179
chez,179
safe,178
mike,178
side,177
met,177
outstanding,177
inviting,177
life,177
melissa,176
clinton,175
hotel,175
however,172
girls,171
couples,171
several,170
note,169
shopping,169
eat,169
toys,169
together,169
delicious,167
offered,167
alex,166
listing,166
tea,166
free,165
brigitte,165
facile,164
furnished,164
enfants,164
sun,164
activities,164
brought,164
appliances,164
island,163
heat,163
helped,162
star,162
organized,162
breeze,161
stairs,161
stores,161
paradise,160
base,160
beaches,159
tres,159
since,158
character,158
entire,158
jamie,158
busy,157
syed,157
rustic,157
four,157
travel,157
tide,156
answered,156
try,156
